001	  .	GILLIAN WELCH - Acony Bell
002	  *	AMALIA RODRIGUES - Segredo (Album)
003	  *	AOIFE O'DONOVAN - Green Room Sessions
004	  .	APHEX TWIN - Avril 14th
005	  *	AVISHAI COHEN TRIO - Gently Disturbed (Live)
006	  .	BOMBINO - Dounia
007	  .	CAKE - 3 songs
008	  .	CAPITAL CITIES - Safe and Sound
009	  *	CHARLES MINGUS - Blues & Roots (Album)
010	  *	COURTNEY BARNETT - Sometimes I Sit... (Album)
011	  *	COURTNEY BARNETT - Tell Me How You Really Feel (Album)
012	  *	CROSBY, STILLS & NASH - csn (Album)
013	  .	CROSBY, STILLS & NASH - Helplessly Hoping
014	  .	DANNY BREAKS - Guerilla Tactics
015	  *	DEFTONES - Adrenaline (Album)
016	  *	DEFTONES - Around The Fur (Album)
017	  .	DIANA KRALL - Temptation
018	  .	DISPATCH - Bang Bang
019	  .	ED LEWIS - Tom Devil
020	  *	ELLIOTT SMITH - Figure 8 (Album)
021	  .	EMINEM - My Name Is
022	  .	EMINEM - Without Me
023	  *	FLEETWOOD MAC - Rumours (Album)
024	  *	FOO FIGHTERS - Foo Fighters (Album)
025	  .	FREDRIKA STAHL - Twinkle Twinkle Little Star
026	  *	GILLIAN WELCH & DAVID RAWLINGS - (Live)
027	  *	GILLIAN WELCH & DAVID RAWLINGS - (Sessions)
028	  *	GREEN DAY - Dookie (Album)
029	  *	GREEN DAY - Insomniac (Album)
030	  *	GREEN DAY - Nimrod (Album)
031	  .	GUSTAVO SANTAOALLA - De Ushuaia a la Quiaca
032	  .	GUSTAVO SANTAOALLA - Iguazu
033	  .	HOUSE OF PAIN - Jump Around
034	  *	SIMON & GARFUNKEL - Central Park (Album)
035	  .	IRMAHAN - Irmahan
036	  *	JAMES TAYLOR - Sweet Baby James (Album)
037	  .	JAMIE COMMONS - Rumble And Sway
038	  *	JESCA HOOP - Memories Are Now (Album)
039	  *	JOHN COLTRANE - Blue Train (Album)
040	  *	JOSE GONZALEZ - Veneer (Album)
041	  *	JOSEPH - NPR Tiny Desk Concert (Live)
042	  .	Landing on Titan - Descent Data Movie
043	  *	LCD SOUNDSYSTEM - LCD Soundsystem (Album)
044	  *	LCD SOUNDSYSTEM - Sound Of Silver (Album)
045	  *	LCD SOUNDSYSTEM - This Is Happening (Album)
046	  .	LORDS OF THE UNDERGROUND - Neva Faded
047	  *	MANU CHAO - Clandestino (Album)
048	  .	MANU CHAO - Papito
049	  *	MANU CHAO - Proxima Estacion Esperanza (Album)
050	  .	MARGARET GLASPY - Emotions and Math
051	  .	MARGARET GLASPY - You And I
052	  *	METALLICA - Black Album (Album)
053	  *	NOFX - Pump Up The Valuum (Album)
054	  *	NOFX - Punk In Drublic (Album)
055	  *	NOFX - So Long and Thanks for All The Shoes (Album)
056	  *	NOFX - White Trash Two Heebs A Bean (Album)
057	  .	OCMS - OCMS
058	  .	GILLIAN WELCH - Orphan Girl
059	  *	PANTERA - A Vulgar Display of Power (Album)
060	  *	PEARL JAM - Yield (Album)
061	  .	PETE YORN - Relator
062	  *	PORTISHEAD - Dummy (Album)
063	  .	PRESIDENTS OF THE USA - Japan
064	  .	PRESIDENTS OF THE USA - Love Delicatessen
065	  *	QUEENS OF THE STONE AGE - Songs for the Deaf (Album)
066	  .	R.E.M - Out of Time
067	  .	RADIOHEAD - Burn The Witch
068	  .	RADIOHEAD - Everything in its Right Place
069	  *	RAGE AGAINST THE MACHINE - Renegades (Album)
070	  *	RAGE AGAINST THE MACHINE - The Battle of LA (Album)
071	  .	RAMSEY LEWIS - The In Crowd
072	  *	RANCID - And Out Came The Wolves (Album)
073	  .	RIFF COHEN - Rotza Prahim
074	  *	SAM BEAM & JESCA HOOP - Love Letter for Fire (Album)
075	  .	SMOKE CITY - Flying Away
076	  .	SMOKE CITY - Giulietta
077	  .	SMOKE CITY - underwater love
078	  .	SMOKE CITY - With You
079	  .	SPEEDY ORTIZ - Major Arcana
080	  .	Squidbillies Outro
081	  *	STAN GETZ & CHARLIE BYRD - Jazz Samba (Album)
082	  *	STUPEFLIP - Stup Religion (Album)
083	  *	STUPEFLIP - Stupeflip (Album)
084	  *	STUPEFLIP - The Hypnoflip Invasion (Album)
085	  .	SYSTEM OF A DOWN - Shimmy
086	  *	SYSTEM OF A DOWN - Toxicity (Album)
087	  *	THE B52's - Cosmic Thing
088	  *	THE B52's - The B52's (Album)
089	  *	THE B52's - Whammy!
